t_ms,pwm,enc_izq,enc_der
27104.0,90.0,13654.0,12366.0
27114.0,90.0,13668.0,12379.0
27124.0,90.0,13681.0,12391.0
27134.0,90.0,13695.0,12405.0
27144.0,90.0,13709.0,12418.0
27154.0,90.0,13722.0,12431.0
27164.0,90.0,13736.0,12444.0
27174.0,90.0,13749.0,12457.0
27184.0,90.0,13763.0,12470.0
27194.0,90.0,13777.0,12483.0
27204.0,90.0,13791.0,12496.0
27214.0,90.0,13804.0,12509.0
27224.0,90.0,13818.0,12523.0
27234.0,90.0,13832.0,12536.0
27244.0,90.0,13845.0,12549.0
27254.0,90.0,13859.0,12562.0
27264.0,90.0,13873.0,12575.0
27274.0,90.0,13887.0,12589.0
27284.0,90.0,13900.0,12602.0
27294.0,90.0,13914.0,12615.0
27304.0,90.0,13928.0,12628.0
27314.0,90.0,13942.0,12642.0
27324.0,90.0,13955.0,12655.0
27334.0,90.0,13969.0,12668.0
27344.0,90.0,13983.0,12681.0
27354.0,90.0,13997.0,12695.0
27364.0,90.0,14010.0,12708.0
27374.0,90.0,14024.0,12721.0
27384.0,90.0,14038.0,12734.0
27394.0,90.0,14052.0,12748.0
27404.0,90.0,14066.0,12761.0
27414.0,90.0,14079.0,12774.0
27424.0,90.0,14093.0,12787.0
27434.0,90.0,14107.0,12801.0
27444.0,90.0,14121.0,12814.0
27454.0,90.0,14135.0,12827.0
27464.0,90.0,14148.0,12840.0
27474.0,90.0,14162.0,12854.0
27484.0,90.0,14176.0,12867.0
27494.0,90.0,14190.0,12880.0
27504.0,90.0,14204.0,12894.0
27514.0,90.0,14217.0,12907.0
27524.0,90.0,14231.0,12920.0
27534.0,90.0,14245.0,12933.0
27544.0,90.0,14259.0,12947.0
27554.0,90.0,14273.0,12960.0
27564.0,90.0,14286.0,12973.0
27574.0,90.0,14300.0,12986.0
27584.0,90.0,14314.0,13000.0
27594.0,90.0,14328.0,13013.0
27604.0,90.0,14342.0,13026.0
27614.0,90.0,14355.0,13040.0
27624.0,90.0,14369.0,13053.0
27634.0,90.0,14383.0,13066.0
27644.0,90.0,14397.0,13079.0
27654.0,90.0,14411.0,13093.0
27664.0,90.0,14424.0,13106.0
27674.0,90.0,14438.0,13119.0
27684.0,90.0,14452.0,13133.0
27694.0,90.0,14466.0,13146.0
27704.0,90.0,14479.0,13159.0
27714.0,90.0,14493.0,13172.0
27724.0,90.0,14507.0,13186.0
27734.0,90.0,14521.0,13199.0
27744.0,90.0,14535.0,13212.0
27754.0,90.0,14548.0,13226.0
27764.0,90.0,14562.0,13239.0
27774.0,90.0,14576.0,13252.0
27784.0,90.0,14590.0,13265.0
27794.0,90.0,14603.0,13279.0
27804.0,90.0,14617.0,13292.0
27814.0,90.0,14631.0,13305.0
27824.0,90.0,14645.0,13319.0
27834.0,90.0,14658.0,13332.0
27844.0,90.0,14672.0,13345.0
27854.0,90.0,14686.0,13358.0
27864.0,90.0,14700.0,13372.0
27874.0,90.0,14714.0,13385.0
27884.0,90.0,14727.0,13398.0
27894.0,90.0,14741.0,13412.0
27904.0,90.0,14755.0,13425.0
27914.0,90.0,14769.0,13438.0
27924.0,90.0,14783.0,13451.0
27934.0,90.0,14796.0,13465.0
27944.0,90.0,14810.0,13478.0
27954.0,90.0,14824.0,13491.0
27964.0,90.0,14837.0,13504.0
27974.0,90.0,14851.0,13518.0
27984.0,90.0,14865.0,13531.0
27994.0,90.0,14879.0,13544.0
28004.0,90.0,14892.0,13557.0
28014.0,90.0,14906.0,13571.0
28024.0,90.0,14920.0,13584.0
28034.0,90.0,14934.0,13597.0
28044.0,90.0,14948.0,13611.0
28054.0,90.0,14961.0,13624.0
28064.0,90.0,14975.0,13637.0
28074.0,90.0,14989.0,13650.0
28084.0,90.0,15003.0,13664.0
28094.0,90.0,15016.0,13677.0
28104.0,90.0,15030.0,13690.0
28114.0,90.0,15044.0,13703.0
28124.0,90.0,15058.0,13717.0
28134.0,90.0,15071.0,13730.0
28144.0,90.0,15085.0,13743.0
28154.0,90.0,15099.0,13756.0
28164.0,90.0,15113.0,13770.0
28174.0,90.0,15126.0,13783.0
28184.0,90.0,15140.0,13796.0
28194.0,90.0,15154.0,13809.0
28204.0,90.0,15168.0,13823.0
28214.0,90.0,15181.0,13836.0
28224.0,90.0,15195.0,13849.0
28234.0,90.0,15209.0,13862.0
28244.0,90.0,15223.0,13876.0
28254.0,90.0,15237.0,13889.0
28264.0,90.0,15251.0,13902.0
28274.0,90.0,15264.0,13915.0
28284.0,90.0,15278.0,13929.0
28294.0,90.0,15292.0,13942.0
28304.0,90.0,15306.0,13955.0
28314.0,90.0,15319.0,13968.0
28324.0,90.0,15333.0,13981.0
28334.0,90.0,15347.0,13995.0
28344.0,90.0,15361.0,14008.0
28354.0,90.0,15375.0,14021.0
28364.0,90.0,15388.0,14035.0
28374.0,90.0,15402.0,14048.0
28384.0,90.0,15416.0,14061.0
28394.0,90.0,15430.0,14074.0
28404.0,90.0,15444.0,14088.0
28414.0,90.0,15457.0,14101.0
28424.0,90.0,15471.0,14114.0
28434.0,90.0,15485.0,14127.0
28444.0,90.0,15499.0,14141.0
28454.0,90.0,15512.0,14154.0
28464.0,90.0,15526.0,14167.0
28474.0,90.0,15540.0,14180.0
28484.0,90.0,15554.0,14194.0
28494.0,90.0,15568.0,14207.0
28504.0,95.0,15582.0,14220.0
28514.0,95.0,15595.0,14233.0
28524.0,95.0,15609.0,14247.0
28534.0,95.0,15623.0,14260.0
28544.0,95.0,15637.0,14274.0
28554.0,95.0,15652.0,14288.0
28564.0,95.0,15666.0,14301.0
28574.0,95.0,15680.0,14315.0
28584.0,95.0,15695.0,14329.0
28594.0,95.0,15709.0,14343.0
28604.0,95.0,15723.0,14357.0
28614.0,95.0,15738.0,14371.0
28624.0,95.0,15752.0,14385.0
28634.0,95.0,15767.0,14399.0
28644.0,95.0,15782.0,14413.0
28654.0,95.0,15796.0,14427.0
28664.0,95.0,15811.0,14441.0
28674.0,95.0,15825.0,14455.0
28684.0,95.0,15840.0,14470.0
28694.0,95.0,15855.0,14484.0
28704.0,95.0,15870.0,14498.0
28714.0,95.0,15884.0,14512.0
28724.0,95.0,15899.0,14526.0
28734.0,95.0,15914.0,14541.0
28744.0,95.0,15928.0,14555.0
28754.0,95.0,15943.0,14569.0
28764.0,95.0,15958.0,14583.0
28774.0,95.0,15972.0,14597.0
28784.0,95.0,15987.0,14612.0
28794.0,95.0,16002.0,14626.0
28804.0,95.0,16017.0,14640.0
28814.0,95.0,16031.0,14654.0
28824.0,95.0,16046.0,14669.0
28834.0,95.0,16061.0,14683.0
28844.0,95.0,16076.0,14697.0
28854.0,95.0,16090.0,14711.0
28864.0,95.0,16105.0,14726.0
28874.0,95.0,16120.0,14740.0
28884.0,95.0,16135.0,14754.0
28894.0,95.0,16149.0,14769.0
28904.0,95.0,16164.0,14783.0
28914.0,95.0,16179.0,14797.0
28924.0,95.0,16194.0,14811.0
28934.0,95.0,16208.0,14826.0
28944.0,95.0,16223.0,14840.0
28954.0,95.0,16238.0,14854.0
28964.0,95.0,16253.0,14868.0
28974.0,95.0,16267.0,14883.0
28984.0,95.0,16282.0,14897.0
28994.0,95.0,16297.0,14911.0
29004.0,95.0,16312.0,14926.0
29014.0,95.0,16326.0,14940.0
29024.0,95.0,16341.0,14954.0
29034.0,95.0,16356.0,14968.0
29044.0,95.0,16371.0,14983.0
29054.0,95.0,16386.0,14997.0
29064.0,95.0,16400.0,15011.0
29074.0,95.0,16415.0,15026.0
29084.0,95.0,16430.0,15040.0
29094.0,95.0,16445.0,15054.0
29104.0,95.0,16459.0,15069.0
29114.0,95.0,16474.0,15083.0
29124.0,95.0,16489.0,15097.0
29134.0,95.0,16503.0,15111.0
29144.0,95.0,16518.0,15126.0
29154.0,95.0,16533.0,15140.0
29164.0,95.0,16548.0,15154.0
29174.0,95.0,16562.0,15169.0
29184.0,95.0,16577.0,15183.0
29194.0,95.0,16592.0,15197.0
29204.0,95.0,16607.0,15212.0
29214.0,95.0,16621.0,15226.0
29224.0,95.0,16636.0,15240.0
29234.0,95.0,16651.0,15254.0
29244.0,95.0,16666.0,15269.0
29254.0,95.0,16680.0,15283.0
29264.0,95.0,16695.0,15297.0
29274.0,95.0,16710.0,15312.0
29284.0,95.0,16725.0,15326.0
29294.0,95.0,16739.0,15340.0
29304.0,95.0,16754.0,15354.0
29314.0,95.0,16769.0,15369.0
29324.0,95.0,16783.0,15383.0
29334.0,95.0,16798.0,15397.0
29344.0,95.0,16813.0,15412.0
29354.0,95.0,16828.0,15426.0
29364.0,95.0,16842.0,15440.0
29374.0,95.0,16857.0,15454.0
29384.0,95.0,16872.0,15469.0
29394.0,95.0,16886.0,15483.0
29404.0,95.0,16901.0,15497.0
29414.0,95.0,16916.0,15511.0
29424.0,95.0,16931.0,15526.0
29434.0,95.0,16945.0,15540.0
29444.0,95.0,16960.0,15554.0
29454.0,95.0,16975.0,15569.0
29464.0,95.0,16989.0,15583.0
29474.0,95.0,17004.0,15597.0
29484.0,95.0,17019.0,15611.0
29494.0,95.0,17034.0,15626.0
29504.0,95.0,17048.0,15640.0
29514.0,95.0,17063.0,15654.0
29524.0,95.0,17078.0,15668.0
29534.0,95.0,17092.0,15683.0
29544.0,95.0,17107.0,15697.0
29554.0,95.0,17122.0,15711.0
29564.0,95.0,17137.0,15726.0
29574.0,95.0,17151.0,15740.0
29584.0,95.0,17166.0,15754.0
29594.0,95.0,17181.0,15768.0
29604.0,95.0,17196.0,15783.0
29614.0,95.0,17210.0,15797.0
29624.0,95.0,17225.0,15811.0
29634.0,95.0,17240.0,15825.0
29644.0,95.0,17255.0,15840.0
29654.0,95.0,17269.0,15854.0
29664.0,95.0,17284.0,15868.0
29674.0,95.0,17299.0,15882.0
29684.0,95.0,17313.0,15896.0
29694.0,95.0,17328.0,15911.0
29704.0,95.0,17343.0,15925.0
29714.0,95.0,17358.0,15939.0
29724.0,95.0,17373.0,15953.0
29734.0,95.0,17387.0,15968.0
29744.0,95.0,17402.0,15982.0
29754.0,95.0,17417.0,15996.0
29764.0,95.0,17432.0,16010.0
29774.0,95.0,17446.0,16025.0
29784.0,95.0,17461.0,16039.0
29794.0,95.0,17476.0,16053.0
29804.0,95.0,17491.0,16068.0
29814.0,95.0,17505.0,16082.0
29824.0,95.0,17520.0,16096.0
29834.0,95.0,17535.0,16110.0
29844.0,95.0,17550.0,16125.0
29854.0,95.0,17564.0,16139.0
29864.0,95.0,17579.0,16153.0
29874.0,95.0,17594.0,16167.0
29884.0,95.0,17609.0,16182.0
29894.0,95.0,17623.0,16196.0
29904.0,95.0,17638.0,16210.0
29914.0,95.0,17653.0,16224.0
29924.0,95.0,17668.0,16239.0
29934.0,95.0,17683.0,16253.0
29944.0,95.0,17697.0,16267.0
29954.0,95.0,17712.0,16281.0
29964.0,95.0,17727.0,16296.0
29974.0,95.0,17742.0,16310.0
29984.0,95.0,17756.0,16324.0
29994.0,95.0,17771.0,16338.0
30004.0,100.0,17786.0,16353.0
30014.0,100.0,17801.0,16367.0
30024.0,100.0,17816.0,16382.0
30034.0,100.0,17831.0,16396.0
30044.0,100.0,17846.0,16411.0
30054.0,100.0,17861.0,16425.0
30064.0,100.0,17876.0,16440.0
30074.0,100.0,17892.0,16455.0
30084.0,100.0,17907.0,16470.0
30094.0,100.0,17922.0,16485.0
30104.0,100.0,17938.0,16500.0
30114.0,100.0,17953.0,16515.0
30124.0,100.0,17969.0,16530.0
30134.0,100.0,17984.0,16545.0
30144.0,100.0,18000.0,16560.0
30154.0,100.0,18015.0,16576.0
30164.0,100.0,18031.0,16591.0
30174.0,100.0,18047.0,16606.0
30184.0,100.0,18062.0,16621.0
30194.0,100.0,18078.0,16636.0
30204.0,100.0,18094.0,16652.0
30214.0,100.0,18109.0,16667.0
30224.0,100.0,18125.0,16682.0
30234.0,100.0,18141.0,16697.0
30244.0,100.0,18157.0,16713.0
30254.0,100.0,18172.0,16728.0
30264.0,100.0,18188.0,16743.0
30274.0,100.0,18204.0,16759.0
30284.0,100.0,18219.0,16774.0
30294.0,100.0,18235.0,16789.0
30304.0,100.0,18251.0,16805.0
30314.0,100.0,18267.0,16820.0
30324.0,100.0,18282.0,16835.0
30334.0,100.0,18298.0,16851.0
30344.0,100.0,18314.0,16866.0
30354.0,100.0,18330.0,16881.0
30364.0,100.0,18345.0,16897.0
30374.0,100.0,18361.0,16912.0
30384.0,100.0,18377.0,16927.0
30394.0,100.0,18393.0,16943.0
30404.0,100.0,18408.0,16958.0
30414.0,100.0,18424.0,16973.0
30424.0,100.0,18440.0,16989.0
30434.0,100.0,18456.0,17004.0
30444.0,100.0,18472.0,17019.0
30454.0,100.0,18487.0,17035.0
30464.0,100.0,18503.0,17050.0
30474.0,100.0,18519.0,17065.0
30484.0,100.0,18534.0,17081.0
30494.0,100.0,18550.0,17096.0
30504.0,100.0,18566.0,17111.0
30514.0,100.0,18582.0,17127.0
30524.0,100.0,18598.0,17142.0
30534.0,100.0,18613.0,17158.0
30544.0,100.0,18629.0,17173.0
30554.0,100.0,18645.0,17188.0
30564.0,100.0,18660.0,17204.0
30574.0,100.0,18676.0,17219.0
30584.0,100.0,18692.0,17234.0
30594.0,100.0,18708.0,17250.0
30604.0,100.0,18723.0,17265.0
30614.0,100.0,18739.0,17280.0
30624.0,100.0,18755.0,17296.0
30634.0,100.0,18770.0,17311.0
30644.0,100.0,18786.0,17327.0
30654.0,100.0,18802.0,17342.0
30664.0,100.0,18818.0,17357.0
30674.0,100.0,18833.0,17373.0
30684.0,100.0,18849.0,17388.0
30694.0,100.0,18865.0,17403.0
30704.0,100.0,18881.0,17419.0
30714.0,100.0,18896.0,17434.0
30724.0,100.0,18912.0,17449.0
30734.0,100.0,18928.0,17465.0
30744.0,100.0,18943.0,17480.0
30754.0,100.0,18959.0,17495.0
30764.0,100.0,18975.0,17511.0
30774.0,100.0,18991.0,17526.0
30784.0,100.0,19006.0,17541.0
30794.0,100.0,19022.0,17557.0
30804.0,100.0,19038.0,17572.0
30814.0,100.0,19053.0,17587.0
30824.0,100.0,19069.0,17603.0
30834.0,100.0,19085.0,17618.0
30844.0,100.0,19101.0,17633.0
30854.0,100.0,19117.0,17649.0
30864.0,100.0,19132.0,17664.0
30874.0,100.0,19148.0,17680.0
30884.0,100.0,19164.0,17695.0
30894.0,100.0,19179.0,17710.0
30904.0,100.0,19195.0,17725.0
30914.0,100.0,19211.0,17741.0
30924.0,100.0,19227.0,17756.0
30934.0,100.0,19242.0,17772.0
30944.0,100.0,19258.0,17787.0
30954.0,100.0,19274.0,17802.0
30964.0,100.0,19290.0,17818.0
30974.0,100.0,19305.0,17833.0
30984.0,100.0,19321.0,17848.0
30994.0,100.0,19337.0,17864.0
31004.0,100.0,19353.0,17879.0
31014.0,100.0,19368.0,17894.0
31024.0,100.0,19384.0,17910.0
31034.0,100.0,19400.0,17925.0
31044.0,100.0,19416.0,17940.0
31054.0,100.0,19431.0,17956.0
31064.0,100.0,19447.0,17971.0
31074.0,100.0,19463.0,17986.0
31084.0,100.0,19479.0,18002.0
31094.0,100.0,19494.0,18017.0
31104.0,100.0,19510.0,18032.0
31114.0,100.0,19526.0,18048.0
31124.0,100.0,19542.0,18063.0
31134.0,100.0,19557.0,18079.0
31144.0,100.0,19573.0,18094.0
31154.0,100.0,19589.0,18109.0
31164.0,100.0,19605.0,18125.0
31174.0,100.0,19620.0,18140.0
31184.0,100.0,19636.0,18155.0
31194.0,100.0,19652.0,18171.0
31204.0,100.0,19668.0,18186.0
31214.0,100.0,19683.0,18201.0
31224.0,100.0,19699.0,18217.0
31234.0,100.0,19715.0,18232.0
31244.0,100.0,19731.0,18247.0
31254.0,100.0,19746.0,18263.0
31264.0,100.0,19762.0,18278.0
31274.0,100.0,19778.0,18293.0
31284.0,100.0,19794.0,18309.0
31294.0,100.0,19809.0,18324.0
31304.0,100.0,19825.0,18339.0
31314.0,100.0,19841.0,18355.0
31324.0,100.0,19857.0,18370.0
31334.0,100.0,19872.0,18386.0
31344.0,100.0,19888.0,18401.0
31354.0,100.0,19904.0,18416.0
31364.0,100.0,19920.0,18432.0
31374.0,100.0,19935.0,18447.0
31384.0,100.0,19951.0,18462.0
31394.0,100.0,19967.0,18478.0
31404.0,100.0,19983.0,18493.0
31414.0,100.0,19999.0,18508.0
31424.0,100.0,20014.0,18524.0
31434.0,100.0,20030.0,18539.0
31444.0,100.0,20046.0,18555.0
31454.0,100.0,20062.0,18570.0
31464.0,100.0,20077.0,18585.0
31474.0,100.0,20093.0,18601.0
31484.0,100.0,20109.0,18616.0
31494.0,100.0,20125.0,18631.0
31504.0,105.0,20140.0,18647.0
31514.0,105.0,20156.0,18662.0
31524.0,105.0,20172.0,18678.0
31534.0,105.0,20188.0,18694.0
31544.0,105.0,20204.0,18709.0
31554.0,105.0,20220.0,18725.0
31564.0,105.0,20237.0,18741.0
31574.0,105.0,20253.0,18757.0
31584.0,105.0,20269.0,18773.0
31594.0,105.0,20286.0,18789.0
31604.0,105.0,20302.0,18805.0
31614.0,105.0,20319.0,18821.0
31624.0,105.0,20335.0,18837.0
31634.0,105.0,20351.0,18854.0
31644.0,105.0,20368.0,18870.0
31654.0,105.0,20384.0,18886.0
31664.0,105.0,20401.0,18902.0
31674.0,105.0,20418.0,18918.0
31684.0,105.0,20434.0,18935.0
